STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,HEALTH_PROF,Health profession,WORKER_STATUS,Worker status,HEALTH_PROF_ACTIVITY_STATUS,Health profession activity status,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,OBS_STATUS4,Observation status 4,UNIT_MULT,Unit multiplier,REF_YEAR_PRICE,Price reference year
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,IRL,Ireland,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,13.2,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,IRL,Ireland,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,13.46,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,ISR,Israel,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,12.19,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,ISR,Israel,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,12,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,ISR,Israel,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,12.08,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,ISR,Israel,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,11.97,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,ITA,Italy,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,8.59,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,ITA,Italy,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,8.79,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,ITA,Italy,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,8.76,,,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_REAC(1.1),Healthcare human resources,I,ITA,Italy,HSE,Health and social employment,PT_EMP,Percentage of employment,_Z,Not applicable,_Z,Not applicable,VQ,Human health and social work activities,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,8.76,,,,,,,,,,,,,,,
